"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4946","suppression d un produit du panier","","2026-07-30","failed","2026-07-30","","","",""
"","5675","suppression d un seul produit parmi plusieurs","","2026-07-30","failed","2026-07-30","","","",""
